,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Today's Date:,,,,,4/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,Enter calendar year above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Important Dates,,,JAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Description,,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr
,1/1/2025,New Year's Day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,11/2/2025,Mom's Birthday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,APR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AUG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,OCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,NOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We,Th,Fr,Sa,Su,Mo,Tu,We
,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
